epoch,cost_train,cost_test,accu_train,accu_test
    0.0000,    1.0986,    1.0986,    0.3338,    0.3323
    1.0000,    1.0986,    1.0986,    0.3338,    0.3323
    2.0000,    1.0986,    1.0986,    0.3337,    0.3323
    3.0000,    1.0986,    1.0986,    0.3338,    0.3323
    4.0000,    1.0986,    1.0986,    0.3338,    0.3323
    5.0000,    1.0986,    1.0986,    0.3338,    0.3323
    6.0000,    1.0986,    1.0986,    0.3337,    0.3323
    7.0000,    1.0986,    1.0986,    0.3338,    0.3323
    8.0000,    1.0986,    1.0986,    0.3338,    0.3323
    9.0000,    1.0986,    1.0986,    0.3338,    0.3323
   10.0000,    1.0986,    1.0986,    0.3338,    0.3323
   11.0000,    1.0986,    1.0986,    0.3338,    0.3323
   12.0000,    1.0986,    1.0986,    0.3337,    0.3323
   13.0000,    1.0986,    1.0986,    0.3338,    0.3323
   14.0000,    1.0986,    1.0986,    0.3338,    0.3323
   15.0000,    1.0986,    1.0986,    0.3339,    0.3323
   16.0000,    1.0986,    1.0986,    0.3337,    0.3323
   17.0000,    1.0986,    1.0986,    0.3340,    0.3323
   18.0000,    1.0986,    1.0986,    0.3337,    0.3323
   19.0000,    1.0986,    1.0986,    0.3338,    0.3323
   20.0000,    1.0986,    1.0986,    0.3339,    0.3323
   21.0000,    1.0986,    1.0986,    0.3340,    0.3323
   22.0000,    1.0985,    1.0986,    0.3339,    0.3323
   23.0000,    1.0985,    1.0986,    0.3342,    0.3323
   24.0000,    1.0985,    1.0985,    0.3341,    0.3323
   25.0000,    1.0985,    1.0985,    0.3339,    0.3323
   26.0000,    1.0985,    1.0985,    0.3342,    0.3323
   27.0000,    1.0985,    1.0985,    0.3340,    0.3323
   28.0000,    1.0985,    1.0985,    0.3345,    0.3323
   29.0000,    1.0985,    1.0985,    0.3342,    0.3323
   30.0000,    1.0985,    1.0985,    0.3346,    0.3323
   31.0000,    1.0985,    1.0985,    0.3344,    0.3323
   32.0000,    1.0985,    1.0985,    0.3346,    0.3323
   33.0000,    1.0985,    1.0985,    0.3343,    0.3323
   34.0000,    1.0985,    1.0985,    0.3348,    0.3323
   35.0000,    1.0985,    1.0985,    0.3348,    0.3323
   36.0000,    1.0985,    1.0985,    0.3351,    0.3323
   37.0000,    1.0985,    1.0985,    0.3350,    0.3323
   38.0000,    1.0985,    1.0985,    0.3353,    0.3323
   39.0000,    1.0985,    1.0985,    0.3352,    0.3323
   40.0000,    1.0984,    1.0984,    0.3353,    0.3323
   41.0000,    1.0984,    1.0984,    0.3357,    0.3323
   42.0000,    1.0984,    1.0984,    0.3359,    0.3323
   43.0000,    1.0984,    1.0984,    0.3360,    0.3323
   44.0000,    1.0984,    1.0984,    0.3365,    0.3323
   45.0000,    1.0984,    1.0984,    0.3369,    0.3323
   46.0000,    1.0984,    1.0984,    0.3370,    0.3323
   47.0000,    1.0984,    1.0984,    0.3380,    0.3323
   48.0000,    1.0984,    1.0984,    0.3381,    0.3323
   49.0000,    1.0984,    1.0984,    0.3378,    0.3323
   50.0000,    1.0984,    1.0983,    0.3388,    0.3323
   51.0000,    1.0983,    1.0983,    0.3390,    0.3323
   52.0000,    1.0983,    1.0983,    0.3401,    0.3323
   53.0000,    1.0983,    1.0983,    0.3408,    0.3323
   54.0000,    1.0983,    1.0983,    0.3417,    0.3323
   55.0000,    1.0983,    1.0983,    0.3421,    0.3323
   56.0000,    1.0983,    1.0983,    0.3429,    0.3323
   57.0000,    1.0983,    1.0982,    0.3444,    0.3323
   58.0000,    1.0982,    1.0982,    0.3455,    0.3324
   59.0000,    1.0982,    1.0982,    0.3467,    0.3324
   60.0000,    1.0982,    1.0982,    0.3483,    0.3324
   61.0000,    1.0982,    1.0982,    0.3511,    0.3324
   62.0000,    1.0982,    1.0981,    0.3513,    0.3325
   63.0000,    1.0981,    1.0981,    0.3531,    0.3329
   64.0000,    1.0981,    1.0981,    0.3561,    0.3339
   65.0000,    1.0981,    1.0981,    0.3576,    0.3357
   66.0000,    1.0981,    1.0981,    0.3600,    0.3374
   67.0000,    1.0980,    1.0980,    0.3621,    0.3396
   68.0000,    1.0980,    1.0980,    0.3658,    0.3423
   69.0000,    1.0980,    1.0980,    0.3674,    0.3453
   70.0000,    1.0980,    1.0979,    0.3716,    0.3484
   71.0000,    1.0979,    1.0979,    0.3737,    0.3530
   72.0000,    1.0979,    1.0979,    0.3772,    0.3573
   73.0000,    1.0979,    1.0979,    0.3800,    0.3625
   74.0000,    1.0979,    1.0978,    0.3844,    0.3680
   75.0000,    1.0978,    1.0978,    0.3875,    0.3726
   76.0000,    1.0978,    1.0977,    0.3920,    0.3770
   77.0000,    1.0977,    1.0977,    0.3957,    0.3818
   78.0000,    1.0977,    1.0977,    0.3999,    0.3863
   79.0000,    1.0977,    1.0976,    0.4047,    0.3914
   80.0000,    1.0976,    1.0976,    0.4085,    0.3973
   81.0000,    1.0976,    1.0975,    0.4119,    0.4027
   82.0000,    1.0975,    1.0975,    0.4174,    0.4079
   83.0000,    1.0975,    1.0974,    0.4216,    0.4133
   84.0000,    1.0975,    1.0974,    0.4277,    0.4186
   85.0000,    1.0974,    1.0973,    0.4316,    0.4239
   86.0000,    1.0974,    1.0973,    0.4367,    0.4285
   87.0000,    1.0973,    1.0972,    0.4395,    0.4337
   88.0000,    1.0972,    1.0972,    0.4451,    0.4387
   89.0000,    1.0972,    1.0971,    0.4490,    0.4435
   90.0000,    1.0971,    1.0970,    0.4541,    0.4488
   91.0000,    1.0971,    1.0970,    0.4570,    0.4538
   92.0000,    1.0970,    1.0969,    0.4614,    0.4594
   93.0000,    1.0969,    1.0968,    0.4661,    0.4648
   94.0000,    1.0969,    1.0968,    0.4707,    0.4714
   95.0000,    1.0968,    1.0967,    0.4738,    0.4778
   96.0000,    1.0967,    1.0966,    0.4784,    0.4845
   97.0000,    1.0966,    1.0965,    0.4821,    0.4906
   98.0000,    1.0965,    1.0964,    0.4854,    0.4961
   99.0000,    1.0965,    1.0963,    0.4891,    0.5016
  100.0000,    1.0964,    1.0962,    0.4915,    0.5067
  101.0000,    1.0963,    1.0961,    0.4956,    0.5109
  102.0000,    1.0962,    1.0960,    0.4978,    0.5149
  103.0000,    1.0961,    1.0959,    0.5022,    0.5181
  104.0000,    1.0960,    1.0958,    0.5032,    0.5209
  105.0000,    1.0959,    1.0957,    0.5070,    0.5225
